Timestamp,Primera palabra,Segunda palabra,Tercera palabra,Cuarta palabra,Quinta palabra,"Para trámites cotidianos, prefiero interactuar con un sistema de Inteligencia Artificial, antes que con un ser humano",Me pone incómodo pensar en los usos futuros de la Inteligencia Artificial,La Inteligencia Artificial puede tener impactos positivos en el bienestar de las personas,Las personas como yo sufrirán si la Inteligencia Artificial se usa cada vez más,La Inteligencia Artificial podría tomar el control de las personas,Un sistema con Inteligencia Artificial podría ser mejor que un trabajador humano en muchas tareas rutinarias,Los sistemas de Inteligencia Artificial pueden ayudar a las personas a sentirse más felices,La Inteligencia Artificial es emocionante,Creo que la Inteligencia Artificial es peligrosa,La Inteligencia Artificial puede brindar nuevas oportunidades económicas para la sociedad,Hay muchas aplicaciones beneficiosas de la Inteligencia Artificial,Los sistemas de Inteligencia Artificial pueden desempeñarse mejor que los seres humanos,La Inteligencia Artificial me parece siniestra,Me asombra lo que la Inteligencia Artificial puede hacer,La inteligencia artificial se utiliza para espiar a las personas,Gran parte de la sociedad se beneficiará de un futuro lleno de Inteligencia Artificial,Me gustaría utilizar Inteligencia Artificial en mi propio trabajo,¿Del 1 al 10 cómo calificaría su conocimiento sobre Inteligencia Artificial?,¿Del 1 al 10 cómo calificaría su experiencia sobre Inteligencia Artificial?,"Instagram, Facebook, Twitter, TikTok y similares","Youtube, Netflix, Spotify y similares","PedidosYa, Uber, MercadoLibre y similares","Chat-GPT, Dall-E, Bard y similares",Asistentes virtuales,Robots y artefactos automatizados,Soy el alma de las fiestas,Empatizo con lo que sienten los demás,Hago mis tareas de inmediato,Tengo cambios frecuentes en mi estado de ánimo,Tengo una gran imaginación,No suelo hablar mucho,No me interesan mucho los problemas de los demás,Usualmente me olvido de volver a guardar las cosas en su lugar,Suelo estar relajado/a la mayor parte del tiempo,No me interesan las ideas abstractas,Hablo con muchas personas diferentes en las fiestas,Puedo sentir las emociones que sienten los demás,Me gusta el orden,Me enojo fácilmente,Tengo dificultad para entender ideas abstractas,No me gusta llamar la atención,No me interesan realmente los demás,Soy algo desordenado/a,Raras veces me siento triste,No tengo una buena imaginación,Edad (años),Género,Máximo nivel de estudio (completo o en curso),¿Cuál de las siguientes opciones describe mejor su principal actividad u ocupación?
11/10/2023 21:05:07,comunicacion,chatgpt,robot,terminator,mente,2,4,3,2,1,4,2,4,4,3,4,2,2,4,2,4,4,6,4,4,4,4,4,1,1,2,2,3,2,4,4,2,2,3,1,1,1,4,3,1,4,1,2,4,1,42,Trans / No-binarix,Posgrado,"Ocupado/a en ciencias sociales, físicas o de la vida"
11/17/2023 11:10:01,Tecnología,Manipulación,Futuro,Robots,Soluciones,2,2,4,4,2,4,3,5,3,4,4,2,2,4,5,2,4,7,7,4,4,2,3,3,1,2,5,4,2,4,2,1,2,2,1,4,5,5,2,1,4,1,1,2,2,35,Varón,Posgrado,"Ocupado/a en bibliotecas, educación o capacitación"
11/30/2023 9:10:57,Sistema ,Información ,Informática ,Rapidez,Futuro ,5,2,4,2,1,1,4,3,2,4,5,1,1,4,1,4,4,6,6,2,4,3,2,1,1,3,5,4,2,5,3,1,1,3,4,5,4,5,3,1,5,1,3,5,2,50,Varón,Universitario o terciario,Ocupado/a en operaciones comerciales o financieras
11/30/2023 9:30:39,Robot,Ayuda,Cerebro,Soluciones,Servicio,3,1,5,1,1,5,3,3,3,3,5,3,1,1,1,3,3,3,1,4,4,2,1,2,1,3,5,4,1,5,1,1,1,1,3,5,5,5,5,3,3,1,1,4,1,37,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
11/30/2023 9:33:08,Sistema,Rendimiento,Efectividad,Rapidez,Robotica,5,3,2,3,2,3,5,3,2,4,4,2,2,3,2,2,3,4,5,4,4,4,3,3,2,4,4,3,1,3,2,2,2,3,2,3,5,5,2,2,4,1,1,5,3,43,Mujer,Universitario o terciario,Ocupado/a en operaciones comerciales o financieras
11/30/2023 9:35:31,Tecnología ,Virtual,.,.,.,4,1,3,1,1,4,1,3,1,2,1,3,1,3,1,2,3,8,8,3,4,3,2,1,1,3,4,4,2,4,3,3,1,4,3,2,3,2,1,3,5,1,2,2,2,45,Mujer,Universitario o terciario,Ocupado/a en administración o gestión
11/30/2023 9:40:27,Redes neuronales,Supervisión ,Aprendizaje automático ,Distopía,Invierno de la IA,3,1,5,1,1,3,1,5,1,5,5,3,1,5,4,4,5,6,6,4,4,2,3,1,1,1,4,5,1,4,4,2,1,3,1,1,3,4,1,1,5,1,2,5,1,39,Varón,Posgrado,Ocupado/a en matemáticas o computación
11/30/2023 9:57:58,Computadora,robosts, asombroso,Rapidez ,Miedo,2,4,5,2,3,2,4,4,3,3,3,1,2,5,2,2,2,7,9,4,3,4,3,1,1,2,5,4,3,4,4,4,3,3,3,2,3,2,1,2,3,1,4,3,2,34,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
11/30/2023 9:58:58,Tecnología,Progreso,Actualidad,Futurismo,Desempleo,5,5,3,2,5,4,1,3,5,3,5,3,4,5,5,5,4,3,3,4,3,3,1,3,1,4,5,3,1,2,5,2,1,3,3,2,4,4,1,4,3,2,3,4,4,28,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
11/30/2023 10:34:05,Tecnología ,Miedo,Posibilidad,Ambiguo ,Robots,1,3,3,2,4,3,1,3,5,1,5,5,5,5,2,1,3,3,6,4,4,4,2,3,1,3,5,3,3,4,3,3,1,2,2,2,4,4,3,2,3,1,2,4,3,25,Mujer,Universitario o terciario,Ocupado/a en ventas y actividades comerciales
