"","primera_palabra","segunda_palabra","tercera_palabra","cuarta_palabra","quinta_palabra","gaais_1n","gaais_2n","gaais_3n","gaais_4n","gaais_5n","gaais_6n","gaais_7n","gaais_8n","gaais_9n","gaais_1p","gaais_2p","gaais_3p","gaais_4p","gaais_5p","gaais_6p","gaais_7p","gaais_8p","conocimiento","experiencia","edad","genero","estudio","ocupacion","uso_redes","uso_plataformas","uso_apps","uso_ias","uso_asistentes","uso_robots","minipip1","minipip2","minipip3","minipip4","minipip5","minipip6r","minipip7r","minipip8r","minipip9r","minipip10r","minipip11","minipip12","minipip13","minipip14","minipip15r","minipip16r","minipip17r","minipip18r","minipip19r","minipip20r","id"
"1","comunicacion","chatgpt","robot","terminator","mente",2,4,2,1,4,4,2,2,2,3,2,4,3,4,4,4,4,6,4,42,"Trans / No-binarix","Posgrado","Ocupado/a en ciencias sociales, físicas o de la vida",4,4,4,4,1,1,2,2,3,2,4,4,2,2,3,1,1,1,4,3,1,4,1,2,4,1,1
"2","Tecnología","Manipulación","Futuro","Robots","Soluciones",2,2,4,2,4,3,2,2,5,4,3,5,4,4,4,2,4,7,7,35,"Varón","Posgrado","Ocupado/a en bibliotecas, educación o capacitación",4,4,2,3,3,1,2,5,4,2,4,2,1,2,2,1,4,5,5,2,1,4,1,1,2,2,2
"3","Sistema","Información","Informática","Rapidez","Futuro",5,2,2,1,1,2,1,1,1,4,4,3,4,5,4,4,4,6,6,50,"Varón","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",2,4,3,2,1,1,3,5,4,2,5,3,1,1,3,4,5,4,5,3,1,5,1,3,5,2,3
"4","Robot","Ayuda","Cerebro","Soluciones","Servicio",3,1,1,1,5,3,3,1,1,5,3,3,3,5,1,3,3,3,1,37,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,2,1,2,1,3,5,4,1,5,1,1,1,1,3,5,5,5,5,3,3,1,1,4,1,4
"5","Sistema","Rendimiento","Efectividad","Rapidez","Robotica",5,3,3,2,3,2,2,2,2,2,5,3,4,4,3,2,3,4,5,43,"Mujer","Universitario o terciario","Ocupado/a en operaciones comerciales o financieras",4,4,4,3,3,2,4,4,3,1,3,2,2,2,3,2,3,5,5,2,2,4,1,1,5,3,5
"6","Tecnología","Virtual",".",".",".",4,1,1,1,4,1,3,1,1,3,1,3,2,1,3,2,3,8,8,45,"Mujer","Universitario o terciario","Ocupado/a en administración o gestión",3,4,3,2,1,1,3,4,4,2,4,3,3,1,4,3,2,3,2,1,3,5,1,2,2,2,6
"7","Redes neuronales","Supervisión","Aprendizaje automático","Distopía","Invierno de la IA",3,1,1,1,3,1,3,1,4,5,1,5,5,5,5,4,5,6,6,39,"Varón","Posgrado","Ocupado/a en matemáticas o computación",4,4,2,3,1,1,1,4,5,1,4,4,2,1,3,1,1,3,4,1,1,5,1,2,5,1,7
"8","Computadora","robosts","asombroso","Rapidez","Miedo",2,4,2,3,2,3,1,2,2,5,4,4,3,3,5,2,2,7,9,34,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,4,3,1,1,2,5,4,3,4,4,4,3,3,3,2,3,2,1,2,3,1,4,3,2,8
"9","Tecnología","Progreso","Actualidad","Futurismo","Desempleo",5,5,2,5,4,5,3,4,5,3,1,3,3,5,5,5,4,3,3,28,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,3,3,1,3,1,4,5,3,1,2,5,2,1,3,3,2,4,4,1,4,3,2,3,4,4,9
"10","Tecnología","Miedo","Posibilidad","Ambiguo","Robots",1,3,2,4,3,5,5,5,2,3,1,3,1,5,5,1,3,3,6,25,"Mujer","Universitario o terciario","Ocupado/a en ventas y actividades comerciales",4,4,4,2,3,1,3,5,3,3,4,3,3,1,2,2,2,4,4,3,2,3,1,2,4,3,10
