"","id","estimulo","tiempo","carrera","edad","medio","medios_cursos","medios_diarios","medios_formacion","medios_sitios","nivel_estudios","sexo","carrera2"
"1","-Lw0L5D8GRExGDVkFaUS","Inteligencia artificial",1576275405491,"Otras Ciencias Sociales y empresariales",30,"Wired",FALSE,TRUE,TRUE,TRUE,"posgrado_curso","varon","Sociales y empresariales"
"2","-LwWKBnHtIyt_-w_Yphx","Inteligencia artificial",1576812074606,"Sociología y Política",38,"Coursera",TRUE,TRUE,FALSE,FALSE,"posgrado_completo","varon","Sociales y empresariales"
"3","-M038VoU7ICfruBo38-V","Inteligencia artificial",1581691016298,"Psicología",30,"TN",FALSE,TRUE,FALSE,FALSE,"uni_curso","mujer","Psicología y medicina"
"4","-M03tH2YwW4heuIKu8ps","Inteligencia artificial",1581703161056,"Psicología",36,"Universitaria",FALSE,TRUE,TRUE,TRUE,"uni_curso","varon","Psicología y medicina"
"5","-M2Py7OYFbW9okIShiK4","Inteligencia artificial",1584221295684,"Computación e Informática",27,"Google",TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"6","-M2R8KZd0JHGquTVkVba","Inteligencia artificial",1584240948593,"Sociología y Política",19,"Nada en específico (al azar)",FALSE,TRUE,FALSE,FALSE,"uni_curso","varon","Sociales y empresariales"
"7","-M2Tcm3-ieoFiRKN9awP","Inteligencia artificial",1584283065378,"Otras Ciencias Sociales y empresariales",35,"Web",FALSE,FALSE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"8","-M2U9XO1xbr_iVeyygQL","Inteligencia artificial",1584280115605,"Economía, Negocios y Administración",23,"Noticiero",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"9","-M2UARgl6K9crUNkHihJ","Inteligencia artificial",1584292026498,"Lengua y Literatura",19,NA,FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"10","-M2UCNA1khHcJAK1HfCd","Inteligencia artificial",1584292652718,"Psicología",24,NA,TRUE,TRUE,FALSE,FALSE,"uni_curso","mujer","Psicología y medicina"
"11","-M2V_ZNG-iA1FZfjiA8Q","Inteligencia artificial",1584315680890,"Otras Ciencias Sociales y empresariales",29,"Infobae, redes sociales,campus universitarios",TRUE,TRUE,TRUE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"12","-M2VaVKUSk1b23LNRn5x","Inteligencia artificial",1584315847141,"Economía, Negocios y Administración",18,"Google",TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Sociales y empresariales"
"13","-M2_4r52vwcW_JKMMCW9","Inteligencia artificial",1584391360609,"Educación",30,"Varias fuentes online",FALSE,TRUE,FALSE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"14","-M2_iO9x2A-WaBMJIQvN","Inteligencia artificial",1584401922935,"Historia y Antropología",22,"Radio",FALSE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"15","-M2bD0ysQm2fF6YIXdol","Inteligencia artificial",1584426961296,"Filosofía y Religión",20,"Youtube, Facebook, Google",TRUE,FALSE,FALSE,TRUE,"uni_curso","varon","Humanidades"
"16","-M2bdaw3Z0gr278RXpoB","Inteligencia artificial",1584434152041,"Arte",38,NA,TRUE,FALSE,FALSE,FALSE,"posgrado_curso","mujer","Humanidades"
"17","-M2cwJY5t44seDGPjsIO","Inteligencia artificial",1584455874544,"Otras Humanidades",24,"Redes sociales",FALSE,TRUE,FALSE,FALSE,"uni_curso","mujer","Humanidades"
"18","-M2d82bYnFG_lGiw8vbh","Inteligencia artificial",1584459268840,"Sociología y Política",34,"Facebook",TRUE,TRUE,TRUE,FALSE,"uni_completo","varon","Sociales y empresariales"
"19","-M2dJa_ek2qv-rRMQuW9","Inteligencia artificial",1584462165854,"Arte",30,NA,FALSE,TRUE,FALSE,FALSE,"uni_completo","mujer","Humanidades"
"20","-M2dZI2HKOkR_fDMwA4X","Inteligencia artificial",1584466334625,"Otras Ciencias Sociales y empresariales",21,"Google en general",TRUE,TRUE,FALSE,FALSE,"uni_curso","mujer","Sociales y empresariales"
"21","-M2fa93EaxIziPTIDVZq","Inteligencia artificial",1584500461679,"Economía, Negocios y Administración",31,NA,TRUE,FALSE,FALSE,TRUE,"uni_completo","varon","Sociales y empresariales"
"22","-M2ieGdfrzpkyEWXEE6x","Inteligencia artificial",1584551830294,"Sociología y Política",24,"LinkedIn",TRUE,FALSE,FALSE,TRUE,"posgrado_curso","mujer","Sociales y empresariales"
"23","-M2k60XhyQZGUZBnXYRd","Inteligencia artificial",1584575907759,"Psicología",20,"CONICET",FALSE,TRUE,TRUE,TRUE,"uni_curso","mujer","Psicología y medicina"
"24","-M2kwW0AiueR0x58iZSc","Inteligencia artificial",1584590114700,"Otras Ingenierías",29,"Youtube",TRUE,FALSE,TRUE,TRUE,"uni_curso","varon","Física, comput. e ingeniería"
"25","-M2lLMSCyvaXR5i80f_p","Inteligencia artificial",1584597017911,"Educación",29,NA,TRUE,TRUE,FALSE,TRUE,"uni_curso","varon","Sociales y empresariales"
"26","-M2oGyRuvL8b87j5Os7v","Inteligencia artificial",1584645605848,"Biología",29,"Diversas fuentes online",TRUE,TRUE,FALSE,TRUE,"uni_completo","mujer","Física, comput. e ingeniería"
"27","-M2omr70hGiMyrhnDOiz","Inteligencia artificial",1584654809789,"Biología",25,NA,TRUE,FALSE,FALSE,TRUE,"uni_curso","mujer","Física, comput. e ingeniería"
"28","-M2p0lkjAciPE1wOCWYj","Inteligencia artificial",1584658664569,"Derecho",33,"internet en general",FALSE,FALSE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"29","-M2p1H-fvCeWb85IyKVJ","Inteligencia artificial",1584658668793,"Comunicación y Medios",24,"Infobae",FALSE,FALSE,FALSE,TRUE,"posgrado_completo","mujer","Sociales y empresariales"
"30","-M2p1iZ562gX6csi37hv","Inteligencia artificial",1584658803170,"Arte",24,"Cómics, diarios, podcast, etc",TRUE,TRUE,FALSE,TRUE,"uni_curso","mujer","Humanidades"
"31","-M2pBlII2ocMygphwNlH","Inteligencia artificial",1584661225999,"Computación e Informática",31,NA,TRUE,TRUE,FALSE,TRUE,"uni_curso","varon","Física, comput. e ingeniería"
"32","-M2pNaeMcY0Po4PuPQBR","Inteligencia artificial",1584659316512,"Comunicación y Medios",29,"Internet",FALSE,TRUE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
"33","-M2prFg4RZTAVNvtqBQa","Inteligencia artificial",1584672631413,"Educación",32,"Investigaciones publicadas en internet, artículos periodísticos",FALSE,TRUE,FALSE,TRUE,"uni_completo","mujer","Sociales y empresariales"
