"","id","orden","palabra","valoracion"
"1","-Lw0L5D8GRExGDVkFaUS",1,"avance",10
"2","-Lw0L5D8GRExGDVkFaUS",2,"automatizacion",10
"3","-Lw0L5D8GRExGDVkFaUS",3,"crecimiento",10
"4","-Lw0L5D8GRExGDVkFaUS",4,"productividad",10
"5","-Lw0L5D8GRExGDVkFaUS",5,"economia",10
"6","-LwWKBnHtIyt_-w_Yphx",1,"Aprendizaje",7
"7","-LwWKBnHtIyt_-w_Yphx",2,"Terminator",3
"8","-LwWKBnHtIyt_-w_Yphx",3,"Skynet",4
"9","-LwWKBnHtIyt_-w_Yphx",4,"Clasificacion",5
"10","-LwWKBnHtIyt_-w_Yphx",5,"Robot",6
"11","-M038VoU7ICfruBo38-V",1,"Innovación",10
"12","-M038VoU7ICfruBo38-V",2,"Desempleo",2
"13","-M038VoU7ICfruBo38-V",3,"Acotada",5
"14","-M038VoU7ICfruBo38-V",4,"Peligro",3
"15","-M038VoU7ICfruBo38-V",5,"Inevitable",5
"16","-M03tH2YwW4heuIKu8ps",1,"Comodidad",5
"17","-M03tH2YwW4heuIKu8ps",2,"Confort",5
"18","-M03tH2YwW4heuIKu8ps",3,"Computadora",5
"19","-M03tH2YwW4heuIKu8ps",4,"Facilita",8
"20","-M03tH2YwW4heuIKu8ps",5,"Dificulta",2
"21","-M2Py7OYFbW9okIShiK4",1,"Conocimiento",10
"22","-M2Py7OYFbW9okIShiK4",2,"Tecnologia",8
"23","-M2Py7OYFbW9okIShiK4",3,"Aprendizaje",10
"24","-M2Py7OYFbW9okIShiK4",4,"Sistematización",8
"25","-M2Py7OYFbW9okIShiK4",5,"Redes",5
"26","-M2R8KZd0JHGquTVkVba",1,"China",3
"27","-M2R8KZd0JHGquTVkVba",2,"Crecimiento Economico",9
"28","-M2R8KZd0JHGquTVkVba",3,"Más tiempo de ocio",10
"29","-M2R8KZd0JHGquTVkVba",4,"Desempleo",1
"30","-M2R8KZd0JHGquTVkVba",5,"Inmoralidad",4
"31","-M2Tcm3-ieoFiRKN9awP",1,"Tecnologia",10
"32","-M2Tcm3-ieoFiRKN9awP",2,"Avance",7
"33","-M2Tcm3-ieoFiRKN9awP",3,"Futuro",6
"34","-M2Tcm3-ieoFiRKN9awP",4,"Acceso",6
"35","-M2Tcm3-ieoFiRKN9awP",5,"Estudio",8
"36","-M2U9XO1xbr_iVeyygQL",1,"Futuro cercano",7
"37","-M2U9XO1xbr_iVeyygQL",2,"Robots",6
"38","-M2U9XO1xbr_iVeyygQL",3,"Tecnología avanzaba",10
"39","-M2U9XO1xbr_iVeyygQL",4,"Todo computarizado",4
"40","-M2U9XO1xbr_iVeyygQL",5,"Educación a distancia",10
"41","-M2UARgl6K9crUNkHihJ",1,"Robots",6
"42","-M2UARgl6K9crUNkHihJ",2,"Máquinas",6
"43","-M2UARgl6K9crUNkHihJ",3,"Evolución",7
"44","-M2UARgl6K9crUNkHihJ",4,"Salud y bienestar",10
"45","-M2UARgl6K9crUNkHihJ",5,"Avance tecnológico",7
"46","-M2UCNA1khHcJAK1HfCd",1,"Ciencia",9
"47","-M2UCNA1khHcJAK1HfCd",2,"Mente",8
"48","-M2UCNA1khHcJAK1HfCd",3,"Robots",6
"49","-M2UCNA1khHcJAK1HfCd",4,"Trabajo",3
"50","-M2UCNA1khHcJAK1HfCd",5,"Avance",8
"51","-M2V_ZNG-iA1FZfjiA8Q",1,"Tecnologias",9
"52","-M2V_ZNG-iA1FZfjiA8Q",2,"Robotica",9
"53","-M2V_ZNG-iA1FZfjiA8Q",3,"Internet",8
"54","-M2V_ZNG-iA1FZfjiA8Q",4,"Computadorizado",9
"55","-M2V_ZNG-iA1FZfjiA8Q",5,"A distancia",9
