"","id","orden","palabra","evoc_id"
"1",1,1,"comunicacion","1-1"
"2",1,2,"chatgpt","1-2"
"3",1,3,"robot","1-3"
"4",1,4,"terminator","1-4"
"5",1,5,"mente","1-5"
"6",2,1,"tecnología","2-1"
"7",2,2,"manipulación","2-2"
"8",2,3,"futuro","2-3"
"9",2,4,"robots","2-4"
"10",2,5,"soluciones","2-5"
"11",3,1,"sistema","3-1"
"12",3,2,"información","3-2"
"13",3,3,"informática","3-3"
"14",3,4,"rapidez","3-4"
"15",3,5,"futuro","3-5"
"16",4,1,"robot","4-1"
"17",4,2,"ayuda","4-2"
"18",4,3,"cerebro","4-3"
"19",4,4,"soluciones","4-4"
"20",4,5,"servicio","4-5"
"21",5,1,"sistema","5-1"
"22",5,2,"rendimiento","5-2"
"23",5,3,"efectividad","5-3"
"24",5,4,"rapidez","5-4"
"25",5,5,"robotica","5-5"
"26",6,1,"tecnología","6-1"
"27",6,2,"virtual","6-2"
"28",6,3,".","6-3"
"29",6,4,".","6-4"
"30",6,5,".","6-5"
"31",7,1,"redes neuronales","7-1"
"32",7,2,"supervisión","7-2"
"33",7,3,"aprendizaje automático","7-3"
"34",7,4,"distopía","7-4"
"35",7,5,"invierno de la ia","7-5"
"36",8,1,"computadora","8-1"
"37",8,2,"robosts","8-2"
"38",8,3,"asombroso","8-3"
"39",8,4,"rapidez","8-4"
"40",8,5,"miedo","8-5"
"41",9,1,"tecnología","9-1"
"42",9,2,"progreso","9-2"
"43",9,3,"actualidad","9-3"
"44",9,4,"futurismo","9-4"
"45",9,5,"desempleo","9-5"
"46",10,1,"tecnología","10-1"
"47",10,2,"miedo","10-2"
"48",10,3,"posibilidad","10-3"
"49",10,4,"ambiguo","10-4"
"50",10,5,"robots","10-5"
"51",11,1,"futuro","11-1"
"52",11,2,"tecnologia","11-2"
"53",11,3,"reemplazo","11-3"
"54",11,4,"desconocimiento","11-4"
"55",11,5,"velocidad","11-5"
"56",12,1,"chatgpt","12-1"
"57",12,2,"openai","12-2"
"58",12,3,"lenguaje","12-3"
"59",12,4,"miedo","12-4"
"60",12,5,"código","12-5"
"61",13,1,"machine","13-1"
"62",13,2,"prediccion","13-2"
"63",13,3,"chat gpt","13-3"
"64",13,4,"redes","13-4"
"65",13,5,"robot","13-5"
"66",14,1,"progreso","14-1"
"67",14,2,"oportunidadades","14-2"
"68",14,3,"automatización","14-3"
"69",14,4,"beneficios","14-4"
"70",14,5,"mejora","14-5"
"71",15,1,"robot","15-1"
"72",15,2,"metal","15-2"
"73",15,3,"sentimientos","15-3"
"74",15,4,"desierto","15-4"
"75",15,5,"bruma","15-5"
"76",16,1,"chatgpt","16-1"
"77",16,2,"robot","16-2"
"78",16,3,"internet","16-3"
"79",16,4,"redes sociales","16-4"
"80",16,5,"innovacion","16-5"
"81",17,1,"asistencia","17-1"
"82",17,2,"automatica","17-2"
"83",17,3,"computadora","17-3"
"84",17,4,"rapida","17-4"
"85",17,5,"mecanizada","17-5"
"86",18,1,"progreso","18-1"
"87",18,2,"actualización","18-2"
"88",18,3,"peligro","18-3"
"89",18,4,"util","18-4"
"90",18,5,"tecnología","18-5"
"91",19,1,"chat gpt","19-1"
"92",19,2,"bard","19-2"
"93",19,3,"redes neuronales","19-3"
"94",19,4,"datos","19-4"
"95",19,5,"genia","19-5"
"96",20,1,"futuro","20-1"
"97",20,2,"peligro","20-2"
"98",20,3,"trabajo","20-3"
"99",20,4,"seguridad","20-4"
"100",20,5,"ayuda","20-5"
"101",21,1,"futurismo","21-1"
"102",21,2,"robot","21-2"
"103",21,3,"tecnología","21-3"
"104",21,4,"velocidad","21-4"
"105",21,5,"ciencia","21-5"
"106",22,1,"robot","22-1"
"107",22,2,"futuro","22-2"
"108",22,3,"desconfianza","22-3"
"109",22,4,"deshumanización","22-4"
"110",22,5,"preocupación","22-5"
"111",23,1,"tecnología","23-1"
"112",23,2,"innovación","23-2"
"113",23,3,"increíble","23-3"
"114",23,4,"automatización","23-4"
"115",23,5,"robots","23-5"
"116",24,1,"computadora","24-1"
"117",24,2,"rapidez","24-2"
"118",24,3,"eficacia","24-3"
"119",24,4,"practicidad","24-4"
"120",24,5,"accesibilidad","24-5"
"121",25,1,"tecnologia","25-1"
"122",25,2,"rapidez","25-2"
"123",25,3,"robot","25-3"
"124",25,4,"ciencia","25-4"
"125",25,5,"máquina 2","25-5"
"126",26,1,"rápido","26-1"
"127",26,2,"solución","26-2"
"128",26,3,"eficiencia","26-3"
"129",26,4,"respuestas","26-4"
"130",26,5,"diverso","26-5"
"131",27,1,"herramienta","27-1"
"132",27,2,"asistente","27-2"
"133",27,3,"silucion","27-3"
"134",27,4,"busqueda","27-4"
"135",27,5,"respuesta","27-5"
"136",28,1,"sistema","28-1"
"137",28,2,"información","28-2"
"138",28,3,"peligro","28-3"
"139",28,4,"incontrolado","28-4"
"140",28,5,"herramienta","28-5"
"141",29,1,"velocidad","29-1"
"142",29,2,"precision","29-2"
"143",29,3,"capacidad","29-3"
"144",29,4,"trabajo","29-4"
"145",29,5,"certeza","29-5"
"146",30,1,"incognita","30-1"
"147",30,2,"futuro","30-2"
"148",30,3,"suerte","30-3"
"149",30,4,"desconocimiento","30-4"
"150",30,5,"fe","30-5"
"151",31,1,"tecnología","31-1"
"152",31,2,"robot","31-2"
"153",31,3,"académico","31-3"
"154",31,4,"resolver","31-4"
"155",31,5,"innovación","31-5"
"156",32,1,"robot","32-1"
"157",32,2,"dominar","32-2"
"158",32,3,"no creatividad","32-3"
"159",32,4,"facilidad","32-4"
"160",32,5,"futuro","32-5"
"161",33,1,"respuesta","33-1"
"162",33,2,"informacion","33-2"
"163",33,3,"solucion","33-3"
"164",33,4,"automatico","33-4"
"165",33,5,"maquina","33-5"
"166",34,1,"eficacia","34-1"
"167",34,2,"innovación","34-2"
"168",34,3,"desarrollo","34-3"
"169",34,4,"oportunidades","34-4"
"170",34,5,"automatización","34-5"
"171",35,1,"automático","35-1"
"172",35,2,"avance","35-2"
"173",35,3,"peligro","35-3"
"174",35,4,"interacción","35-4"
"175",35,5,"amigarse","35-5"
"176",36,1,"estadística","36-1"
"177",36,2,"ayuda","36-2"
"178",36,3,"desarrollo","36-3"
"179",36,4,"tecnologia","36-4"
"180",36,5,"revolución","36-5"
"181",37,1,"intriga","37-1"
"182",37,2,"miedo","37-2"
"183",37,3,"ayuda","37-3"
"184",37,4,"peligroso","37-4"
"185",37,5,"avance","37-5"
"186",38,1,"avance tecnológico","38-1"
"187",38,2,"desafío","38-2"
"188",38,3,"temor","38-3"
